Graph Size,Cut Value,Time
8,24,0.0
8,73,0.0
8,56,0.0
8,58,0.0
8,74,0.008821487426757812
8,64,0.0009982585906982422
8,42,0.0019521713256835938
8,62,0.002124309539794922
8,79,0.0021691322326660156
8,64,0.0010914802551269531
8,51,0.001997232437133789
8,56,0.001001596450805664
8,56,0.0019960403442382812
8,62,0.0009999275207519531
8,58,0.002002239227294922
8,45,0.0009970664978027344
8,70,0.0015032291412353516
8,31,0.0020079612731933594
8,61,0.0009980201721191406
8,67,0.0006945133209228516
8,48,0.0
8,44,0.0
8,39,0.0
8,54,0.0
8,49,0.008585929870605469
8,43,0.0
8,48,0.0
8,43,0.0
8,61,0.0
8,70,0.008337974548339844
8,50,0.0
8,71,0.0
8,64,0.0
8,39,0.0
8,34,0.007799863815307617
8,51,0.0005655288696289062
8,53,0.0
8,51,0.0
8,57,0.0
8,66,0.0
8,54,0.008889436721801758
8,36,0.0009999275207519531
8,73,0.0019998550415039062
8,60,0.0014154911041259766
8,68,0.0
8,69,0.0027947425842285156
8,52,0.0
8,68,0.0
8,60,0.0
8,54,0.0
8,63,0.009160518646240234
8,47,0.0
8,60,0.0
8,43,0.0
8,60,0.0
8,58,0.00779271125793457
8,51,0.0010457038879394531
8,32,0.0010004043579101562
8,68,0.0003788471221923828
8,45,0.0
8,68,0.0
8,53,0.004873037338256836
8,67,0.0020949840545654297
8,65,0.001964092254638672
8,56,0.0
8,57,0.0
8,65,0.0043065547943115234
8,63,0.0020101070404052734
8,62,0.0008649826049804688
8,70,0.0
8,62,0.0
8,71,0.0060291290283203125
8,55,0.0
8,54,0.0
8,34,0.0
8,69,0.0
8,78,0.00803685188293457
8,52,0.0005817413330078125
8,53,0.002964019775390625
8,72,0.0
8,64,0.0
8,49,0.0053365230560302734
8,72,0.0
8,90,0.0
8,56,0.0
8,51,0.0
8,58,0.0020453929901123047
8,61,0.0014414787292480469
8,60,0.0
8,67,0.003912687301635742
8,46,0.0010199546813964844
8,36,0.0
8,23,0.0
8,60,0.0
8,62,0.0
8,61,0.007580280303955078
8,64,0.0
8,66,0.0
8,62,0.0
8,79,0.0
8,60,0.0003409385681152344
8,65,0.0
8,40,0.0
8,59,0.0
8,57,0.0
8,56,0.008350610733032227
8,69,0.0
8,65,0.0
8,62,0.0
8,35,0.0
8,56,0.00837397575378418
8,66,0.0
8,55,0.0
8,69,0.0
8,50,0.0
8,31,0.008634090423583984
8,56,0.0
8,50,0.0
8,47,0.0
8,54,0.0
8,59,0.007780313491821289
8,60,0.0010459423065185547
8,52,0.001439809799194336
8,75,0.0
8,64,0.0
8,54,0.00581669807434082
8,67,0.0020453929901123047
8,54,0.0019996166229248047
8,71,0.0
8,56,0.004596710205078125
8,45,0.0
8,68,0.0
8,42,0.0
8,59,0.008085012435913086
8,58,0.00039076805114746094
8,63,0.002959012985229492
8,54,0.0
8,69,0.0
8,73,0.0
8,43,0.0005164146423339844
8,62,0.0
8,65,0.0
8,74,0.0
8,52,0.0
8,54,0.008419036865234375
8,49,0.0
8,70,0.0
8,58,0.0
8,59,0.0
8,71,0.008121490478515625
8,47,0.0
8,60,0.0
8,56,0.0
8,48,0.0
8,61,0.008376121520996094
8,52,0.0
8,59,0.0
8,60,0.0
8,56,0.0
8,70,0.00836491584777832
8,55,0.0
8,40,0.0
8,63,0.0
8,72,0.0
8,65,0.008047819137573242
8,70,0.0012176036834716797
8,67,0.0
8,62,0.0
8,55,0.0
8,74,0.0071697235107421875
8,62,0.0
8,43,0.0
8,47,0.0
8,63,0.0
8,50,0.008422136306762695
8,65,0.0
8,58,0.0
8,46,0.0
8,56,0.0
8,49,0.00803232192993164
